Time_index,WindPower_MW
1,0.308914197
2,0.383776218
3,0.456208246
4,0.42119096
5,0.296392786
6,0.16315814
7,0.119116283
8,0.141948428
9,0.173143797
10,0.112373592
11,0.11574822
12,0.218886883
13,0.278094972
14,0.498972905
15,0.597136604
16,0.344096092
17,0.286348255
18,0.450782091
19,0.603172208
20,0.603573198
21,0.562967117
22,0.927057301
23,0.994978433
24,1
25,1
26,0.988773401
27,0.97856009
28,0.947083309
29,0.77979822
30,0.691660399
31,0.705468267
32,0.595161522
33,0.396898697
34,0.282238991
35,0.321803632
36,0.375219079
37,0.150836683
38,0.111776073
39,0.104621829
40,0.026893044
41,0.018739132
42,0.308015948
43,0.27374725
44,0.473419556
45,0.563702951
46,0.668519949
47,0.938775356
48,0.976327027
49,0.948202377
50,0.985449852
51,0.988918448
52,0.912690749
53,0.886380007
54,0.781435301
55,0.869413381
56,0.923664202
57,0.88082389
58,0.712293635
59,0.610861669
60,0.549973716
61,0.426543847
62,0.31859876
63,0.331927178
64,0.341512675
65,0.3975631
66,0.50408131
67,0.506363134
68,0.563876852
69,0.520741962
70,0.377302376
71,0.263754958
72,0.077067827
73,0.034853184
74,0.125843968
75,0.324766822
76,0.428956034
77,0.358604146
78,0.272839931
79,0.247982467
80,0.232168794
81,0.295095834
82,0.403153927
83,0.496786915
84,0.486488154
85,0.452209805
86,0.379882907
87,0.32503934
88,0.304222713
89,0.325239013
90,0.389475313
91,0.472734737
92,0.587920715
93,0.542112504
94,0.541578685
95,0.552860156
96,0.732600001
97,0.786303709
98,0.60263163
99,0.691346601
100,0.826007605
101,0.817705904
102,0.858541081
103,0.837093815
104,0.870671501
105,0.909501572
106,0.886608263
107,0.850011547
108,0.723635058
109,0.52888938
110,0.413854813
111,0.457972556
112,0.45718958
113,0.356893502
114,0.412790091
115,0.386071332
116,0.292256047
117,0.26934041
118,0.286729806
119,0.230430514
120,0.112612662
121,0.101642665
122,0.066440803
123,0.042905492
124,0.012593736
125,0.000570937
126,0.005336213
127,0.029529557
128,0.051831456
129,0.095586945
130,0.087745674
131,0.080380687
132,0.051946315
133,0.016751932
134,8.83E-05
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0.001456322
144,2.47E-05
145,0
146,0
147,0.002916102
148,0.027395235
149,0.053561611
150,0.02461321
151,0.030939201
152,0.058400715
153,0.179331394
154,0.253703146
155,0.282387748
156,0.389352314
157,0.717577371
158,0.575686768
159,0.257588943
160,0.151283749
161,0.06918606
162,0.154823199
163,0.180091607
164,0.372588715
165,0.504249146
166,0.482180797
167,0.366101945
168,0.308728533
169,0.203263388
170,0.158373865
171,0.131662253
172,0.128585583
173,0.095491681
174,0.066891423
175,0.028821869
176,0.019244928
177,0.025510567
178,0.041196261
179,0.037952202
180,0.023842346
181,0.031304501
182,0.088153482
183,0.09209089
184,0.147637549
185,0.190752103
186,0.274308289
187,0.395339824
188,0.534526472
189,0.691779907
190,0.75900959
191,0.844044631
192,0.92452234
193,0.983282114
194,0.988005222
195,0.999039511
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0.997951503
204,0.989107614
205,0.993276442
206,0.999447202
207,0.999990265
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,0.994102771
217,0.926228732
218,0.989572937
219,0.99935326
220,0.973711928
221,0.940600152
222,0.896551192
223,0.88364399
224,0.910944437
225,0.943590169
226,0.81395203
227,0.499296459
228,0.41076678
229,0.615047683
230,0.692216267
231,0.568832129
232,0.512918728
233,0.581303549
234,0.57208628
235,0.451973096
236,0.304700943
237,0.60678643
238,0.789208343
239,0.720876227
240,0.506854395
241,0.323071229
242,0.230768338
243,0.181453653
244,0.143832635
245,0.139690175
246,0.103507629
247,0.079200596
248,0.078252952
249,0.092434997
250,0.095830951
251,0.066864868
252,0.04341787
253,0.029891859
254,0.025830793
255,0.026950612
256,0.036032847
257,0.057951808
258,0.067421384
259,0.12574585
260,0.225726294
261,0.324833356
262,0.601314994
263,0.644588565
264,0.704744672
265,0.839218944
266,0.78390184
267,0.850925028
268,0.730983719
269,0.569102849
270,0.830928917
271,0.988961016
272,0.992183521
273,0.999801631
274,1
275,0.999072025
276,0.992237906
277,0.985654245
278,0.982804025
279,0.986551012
280,0.992975061
281,0.999871025
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,0.998865406
298,0.975775257
299,0.890590752
300,0.853407259
301,0.812985872
302,0.677311599
303,0.653819223
304,0.656016752
305,0.799161037
306,0.860663952
307,0.783893421
308,0.861039052
309,0.984920502
310,0.993014743
311,0.984266058
312,0.98317724
313,0.934040189
314,0.893613527
315,0.858422548
316,0.758658066
317,0.681478088
318,0.642344326
319,0.59509177
320,0.574335669
321,0.529212748
322,0.481880695
323,0.523762924
324,0.387324924
325,0.290074761
326,0.293261814
327,0.297637455
328,0.283522766
329,0.380482766
330,0.30121772
331,0.262658021
332,0.199845345
333,0.191032569
334,0.126336066
335,0.101826043
336,0.090271525
337,0.056312882
338,0.040638242
339,0.033728166
340,0.019584307
341,0.000823367
342,0
343,0
344,0
345,0
346,0.015733492
347,0.068696092
348,0.162528073
349,0.322256919
350,0.559513609
351,0.843086049
352,0.957431753
353,0.999455268
354,0.999244751
355,1
356,1
357,1
358,1
359,1
360,0.988097007
361,0.960606729
362,0.944079086
363,0.98286734
364,0.889478649
365,0.939101507
366,0.947311203
367,0.919183647
368,0.918562437
369,0.944618881
370,0.934254707
371,0.900115038
372,0.676982964
373,0.550592939
374,0.438706324
375,0.304743444
376,0.327252636
377,0.397129302
378,0.480448425
379,0.5012645
380,0.688675851
381,0.786753257
382,0.718046412
383,0.662216683
384,0.359807894
385,0.385725873
386,0.212241069
387,0.235477294
388,0.340113021
389,0.365808835
390,0.327541918
391,0.288435638
392,0.30937238
393,0.297429783
394,0.248106023
395,0.203718438
