Time_index,LONGIL_DAZonal_Hourly_USD_per_MWh
530,118.27
531,110.99
532,108.15
533,112.99
534,118.86
535,112.14
536,110.82
537,129.93
538,145.67
539,141.79
540,140.22
541,139.99
542,134.52
543,129.87
544,136.09
545,153.87
546,224.81
547,205.09
548,178.29
549,169.44
550,153.51
551,138.74
552,152.39
553,139.36
554,137.99
555,134.58
556,132.82
557,134.52
558,137.6
559,161.34
560,186.16
561,189.13
562,191.08
563,178.44
564,165.42
565,145.42
566,139.32
567,133.54
568,140.04
569,185.61
570,260.34
571,249.02
572,225.93
573,203.61
574,155.46
575,133.57
576,138.05
577,139.83
578,131
579,129.09
580,126.47
581,128.5
582,132.74
583,154.48
584,170.97
585,166.76
586,170.6
587,162.59
588,159.87
589,153.73
590,143.82
591,140.58
592,147.1
593,165.51
594,233.21
595,215.56
596,212.89
597,165.92
598,157.47
599,139.59
600,132.33
601,58.53
602,55.43
603,54.47
604,54.4
605,55.83
606,60.35
607,88.31
608,103.54
609,94.72
610,92.43
611,83.19
612,75.01
613,71.87
614,70.7
615,66.21
616,68.19
617,89.58
618,127.43
619,120.22
620,99.9
621,88.95
622,78.05
623,69.61
624,62.91
625,56.4
626,50.77
627,49.43
628,48.93
629,50.02
630,55.98
631,78.6
632,85.15
633,79.25
634,80.61
635,79.79
636,79.07
637,76.03
638,73.98
639,72.82
640,73.11
641,80.13
642,108.03
643,97.21
644,92.89
645,91.08
646,79.69
647,65.8
648,58.7
649,59.46
650,53.16
651,52.11
652,52.07
653,54.26
654,59.75
655,87.89
656,100.69
657,89.13
658,91.57
659,92.36
660,94.01
661,92.64
662,81.53
663,72.04
664,79.54
665,96.19
666,121.28
667,114.62
668,105.31
669,92.22
670,85.21
671,69.39
672,65.77
673,66.76
674,59.26
675,56.69
676,59.5
677,61.01
678,59.51
679,68.03
680,72.5
681,79.51
682,93.37
683,105.96
684,98.1
685,86.79
686,78.94
687,74.15
688,75.53
689,94.7
690,142.7
691,133.96
692,117.89
693,111.34
694,96.29
695,80.3
696,72.67
697,72.34
698,65.15
699,65.83
700,66.26
701,67.15
702,69.09
703,63.74
704,65.11
705,75.65
706,80.2
707,83.56
708,80.33
709,77.12
710,72.61
711,69.65
712,71.35
713,82.97
714,133.43
715,129.5
716,119.57
717,113.75
718,99.12
719,114.23
720,72.74
721,70.21
722,68.97
723,69.72
724,63.41
725,65.71
726,70.35
727,97.18
728,114.85
729,114.15
730,116.85
731,118.87
732,120.21
733,118.04
734,116.83
735,118.49
736,118.64
737,127.6
738,156.3
739,153.82
740,141.48
741,139.46
742,132.83
743,113.24
744,81.64
745,73.75
746,61.17
747,61.78
748,63.74
749,64.09
750,69.42
751,95.47
752,99.85
753,93.28
754,95.03
755,109.29
756,106.24
757,110.34
758,95.23
759,94.07
760,87.06
761,115.95
762,139.4
763,135.49
764,120.85
765,121.99
766,103.98
767,75.75
768,69.43
769,53.89
770,47.68
771,43.54
772,43.53
773,44.46
774,49.86
775,65.14
776,77.84
777,76.54
778,77.04
779,77.98
780,77.42
781,77.43
782,77.38
783,75.5
784,75.11
785,90.25
786,118.96
787,118.87
788,91.29
789,88.62
790,77.73
791,63.74
792,54.86
793,55.54
794,49.88
795,45.11
796,48.67
797,47.85
798,55.08
799,78.07
800,93.26
801,93.91
802,93.95
803,96.14
804,94.64
805,90.43
806,84.08
807,78.93
808,78.82
809,87.16
810,125.17
811,129.94
812,122.11
813,99.13
814,87.1
815,78.88
816,67.38
817,57.83
818,55.37
819,53.81
820,54.72
821,54.98
822,58.71
823,76.52
824,84.11
825,85.74
826,84.67
827,85.25
828,81.37
829,76.77
830,73.29
831,70.31
832,70.19
833,77.54
834,90
835,92.76
836,85.23
837,77.48
838,71.85
839,65.74
840,60.6
841,51.83
842,47.2
843,45.43
844,45.82
845,45.69
846,47.81
847,54.54
848,60.26
849,64.81
850,68.21
851,68.79
852,65.26
853,60.24
854,55.89
855,53.27
856,53.2
857,57.86
858,95.03
859,85.44
860,76.39
861,73.71
862,64.43
863,58.39
864,53.54
865,46.7
866,44.35
867,40.29
868,40.46
869,41.27
870,41.48
871,45.42
872,47.6
873,54.37
874,58.84
875,57.52
876,58.23
877,57.71
878,52.65
879,52.19
880,50.6
881,63.08
882,81.65
883,83.39
884,71.14
885,69.35
886,63.16
887,58.76
888,49.38
889,48.93
890,43.45
891,41.28
892,41.17
893,38.79
894,48.61
895,66.55
896,69.21
897,68.76
898,69.32
899,68.89
900,68.84
901,66.32
902,61.72
903,59.55
904,61.68
905,68.35
906,90.24
907,90.35
908,78.72
909,72.16
910,64.32
911,55.69
912,49.79
913,45.66
914,41.04
915,39.51
916,38.98
917,40.1
918,45.79
919,65.1
920,74.26
921,67.72
922,67.96
923,71.64
924,69.65
925,67.19
926,65.33
927,63.28
928,63.01
929,69.21
930,106.2
931,104.75
932,93.32
933,82.57
934,79.35
935,62.63
936,55.28
937,56.01
938,50.12
939,48.86
940,49.08
941,50.18
942,56.21
943,78.42
944,88.57
945,82.99
946,81.54
947,89.19
948,73.89
949,69.1
950,65.53
951,64.93
952,63.46
953,67.87
954,114.26
955,112.88
956,99.71
957,92.32
958,76.36
959,65.54
960,62.74
961,60.77
962,50.75
963,49.51
964,49.87
965,51.33
966,59.81
967,86.8
968,100.94
969,98.82
970,97.43
971,93.7
972,92.58
973,87.09
974,85.79
975,79.35
976,82.78
977,92.97
978,139.42
979,139.62
980,134.33
981,125.54
982,96.82
983,76.8
984,70.07
985,58.21
986,52.53
987,51.47
988,48.17
989,49.61
990,58.89
991,84.44
992,91.24
993,85.32
994,83.14
995,83.38
996,76.7
997,72.45
998,68.46
999,65.7
1000,65.5
1001,71.03
1002,101.64
1003,99.72
1004,87.48
1005,79.08
1006,69.91
1007,62.91
1008,60.58
1009,50.75
1010,45.93
1011,44.2
1012,43.6
1013,42.49
1014,44.98
1015,47.36
1016,52.91
1017,58.12
1018,60.52
1019,61.41
1020,57.25
1021,51.52
1022,46.96
1023,44.56
1024,44.72
1025,47.94
1026,70.88
1027,72.99
1028,63.68
1029,60.18
1030,54.47
1031,50.17
1032,49.06
1033,44.3
1034,41.4
1035,39.03
1036,39.9
1037,39.06
1038,40.94
1039,44.73
1040,47.19
1041,48.7
1042,52.86
1043,52.49
1044,49.71
1045,46.73
1046,42.9
1047,41.55
1048,43.35
1049,45.01
1050,74.43
1051,77.84
1052,62.76
1053,60.65
1054,52.29
1055,43.3
1056,40.87
1057,38.45
1058,35.22
1059,34.08
1060,35.6
1061,35.53
1062,39.02
1063,47.82
1064,60.75
1065,56.56
1066,56.98
1067,57.87
1068,53.97
1069,51.18
1070,48.27
1071,47.85
1072,46.17
1073,51.67
1074,74.76
1075,77.87
1076,68.45
1077,62.08
1078,53.71
1079,46.74
1080,41.89
1081,47.47
1082,44.52
1083,42.69
1084,43.89
1085,44.64
1086,42.96
1087,55.89
1088,62.8
1089,61.06
1090,61.07
1091,61.75
1092,59.61
1093,57.22
1094,51.9
1095,50.77
1096,50.82
1097,57.96
1098,90.24
1099,88.63
1100,76.01
1101,67.76
1102,59.07
1103,51.74
1104,45.88
1105,38.63
1106,36.66
1107,38.51
1108,37.4
1109,36.75
1110,40.57
1111,59.02
1112,63.56
1113,56.28
1114,56.17
1115,55.92
1116,51.29
1117,47.26
1118,44.86
1119,42.75
1120,43.74
1121,48.85
1122,70.52
1123,76.49
1124,63.83
1125,56.66
1126,49.01
1127,42.25
1128,36.58
1129,34.72
1130,32.3
1131,31.41
1132,31.63
1133,29.84
1134,35.51
1135,45.43
1136,50.85
1137,49.47
1138,49.08
1139,48.94
1140,46.02
1141,44.02
1142,43.14
1143,42.35
1144,42.23
1145,45.28
1146,63.19
1147,68.13
1148,59.07
1149,51.26
1150,42.83
1151,39.8
1152,36.59
1153,32.62
1154,30
1155,28.23
1156,27.98
1157,28.53
1158,33.15
1159,39.7
1160,47.87
1161,45.82
1162,43.39
1163,46.58
1164,43.01
1165,40.05
1166,39.62
1167,38.39
1168,38.28
1169,39.59
1170,55.42
1171,61.78
1172,49.21
1173,45.62
1174,40.44
1175,38.15
1176,33.15
1177,36.49
1178,34.1
1179,33.2
1180,32.81
1181,32.51
1182,33.47
1183,34.91
1184,38.27
1185,41.54
1186,42.81
1187,44.69
1188,42.3
1189,42.21
1190,41.38
1191,40.69
1192,40.37
1193,41.47
1194,59.17
1195,60.5
1196,57.65
1197,45.76
1198,45.06
1199,53.72
1200,39.83
1201,41.2
1202,38.85
1203,36.68
1204,36.34
1205,36.44
1206,37.68
1207,38.07
1208,38.22
1209,43.91
1210,48.68
1211,45.63
1212,42.13
1213,41.63
1214,39.6
1215,39.11
1216,38.89
1217,43.61
1218,59.82
1219,66.27
1220,58.89
1221,54.54
1222,47.66
1223,43.65
1224,41.31
1225,40.52
1226,38.14
1227,37.34
1228,37.72
1229,38.1
1230,42.19
1231,56.61
1232,60.13
1233,58.96
1234,59.45
1235,60.55
1236,59.79
1237,56.53
1238,51.31
1239,48.76
1240,48.27
1241,54.98
1242,76.68
1243,81.36
1244,72.05
1245,62.55
1246,53.27
1247,47.41
1248,44.78
1249,40.19
1250,38.87
1251,37.92
1252,38.48
1253,38.77
1254,43.15
1255,60.8
1256,66.6
1257,66.78
1258,66.28
1259,66.22
1260,62.69
1261,59.77
1262,56.8
1263,55.96
1264,55.79
1265,57.92
1266,84.24
1267,122.18
1268,99
1269,70.05
1270,59.81
1271,51.06
1272,47.03
1273,48.96
1274,45.27
1275,43.67
1276,43.35
1277,42.85
1278,51.01
1279,69.2
1280,73.21
1281,71.21
1282,70.26
1283,68.18
1284,65.55
1285,59.9
1286,57.77
1287,55.55
1288,55.39
1289,56.21
1290,75
1291,87.87
1292,74.02
1293,67.46
1294,57.62
1295,52.92
1296,46.84
1297,78.34
1298,62.54
1299,56.33
1300,59.06
1301,55.29
1302,69.34
1303,130.15
1304,131.36
1305,119.4
1306,117.39
1307,111.52
1308,101.77
1309,93.19
1310,78.6
1311,72.46
1312,68.57
1313,84.05
1314,126.85
1315,139.57
1316,131.49
1317,134.23
1318,99.4
1319,88.7
1320,76.86
1321,55.25
1322,46.83
1323,45.48
1324,44.97
1325,45.53
1326,52.78
1327,72.71
1328,76.09
1329,74.37
1330,72.62
1331,73.3
1332,68.46
1333,64.52
1334,61.31
1335,59.31
1336,58.73
1337,63.78
1338,90.11
1339,95.74
1340,80.47
1341,91.44
1342,64.46
1343,60.02
1344,57.35
1345,48.55
1346,43.9
1347,41.29
1348,40.74
1349,41.01
1350,43.16
1351,44.51
1352,46.52
1353,53.6
1354,58.37
1355,60.28
1356,57.53
1357,53.73
1358,48.83
1359,47.11
1360,46.17
1361,52.55
1362,70.69
1363,78.72
1364,71.44
1365,61.86
1366,58.14
1367,51.48
1368,44.22
1369,45.42
1370,42.23
1371,38.99
1372,39.75
1373,40.64
1374,41.8
1375,42.46
1376,43.83
1377,51.12
1378,56.74
1379,55.44
1380,52.22
1381,47.99
1382,45.08
1383,43.17
1384,42.94
1385,48.05
1386,64.1
1387,74.67
1388,65.83
1389,59.94
1390,51.65
1391,47.27
1392,43.61
1393,37.93
1394,35.41
1395,35.44
1396,35.4
1397,35.95
1398,37.52
1399,54.75
1400,57.71
1401,56.33
1402,57.78
1403,56.7
1404,53.27
1405,50.14
1406,48.22
1407,45.73
1408,45.15
1409,54.52
1410,70.03
1411,77.68
1412,74.27
1413,59.79
1414,50.91
1415,44
1416,40.11
1417,42.82
1418,37.41
1419,36.27
1420,37.39
1421,37.36
1422,40.85
1423,54.52
1424,60.96
1425,62.85
1426,61.9
1427,61.94
1428,58.11
1429,54.56
1430,52.4
1431,50.17
1432,50.22
1433,54.79
1434,70.85
1435,79.76
1436,70.85
1437,62.94
1438,57.36
1439,52.11
1440,44.94
1441,40.13
1442,39.06
1443,36.28
1444,35.51
1445,37.68
1446,41.65
1447,57.17
1448,61.78
1449,59.32
1450,58.57
1451,57.95
1452,54.67
1453,52.42
1454,50.89
1455,48.28
1456,47.44
1457,51.96
1458,70
1459,75.1
1460,70.52
1461,68.18
1462,58.07
1463,54.14
1464,45.18
1465,55.25
1466,50.28
1467,48.11
1468,49.09
1469,47.97
1470,54.74
1471,76.87
1472,83.72
1473,85.15
1474,81.55
1475,80.85
1476,78.61
1477,74.44
1478,70.59
1479,65.24
1480,67.6
1481,74.22
1482,90.97
1483,124.63
1484,98.99
1485,90.41
1486,77.86
1487,63.93
1488,59.67
1489,55.99
1490,48.89
1491,45
1492,45.62
1493,46.25
1494,53.51
1495,77.53
1496,85.13
1497,88.13
1498,90.1
1499,89.2
1500,82.67
1501,81.64
1502,72.61
1503,70.28
1504,67.93
1505,69.83
1506,90.75
1507,105.03
1508,86.68
1509,79.15
1510,70.4
1511,64.86
1512,61.19
1513,41.07
1514,36.38
1515,34.9
1516,34.23
1517,35.12
1518,37.81
1519,39.43
1520,42.79
1521,49.16
1522,52.58
1523,52.62
1524,52.46
1525,49.57
1526,41.76
1527,41.16
1528,39.71
1529,41
1530,51.34
1531,64.59
1532,54.05
1533,52.46
1534,48.09
1535,46.41
1536,38.46
1537,35.1
1538,30.81
1539,29.8
1540,29.61
1541,30.51
1542,31.59
1543,30.69
1544,32.98
1545,43.14
1546,52.09
1547,52.76
1548,56.15
1549,53.15
1550,52.1
1551,52.07
1552,52.07
1553,60.14
1554,68.17
1555,65.02
1556,59.61
1557,52.65
1558,47.3
1559,41.15
1560,37.63
1561,34.27
1562,31.83
1563,32.94
1564,34.26
1565,33.17
1566,36.53
1567,51.73
1568,52.87
1569,52.87
1570,54.68
1571,53.89
1572,52.49
1573,49.32
1574,46.52
1575,44.58
1576,43.87
1577,46.29
1578,63.46
1579,71.97
1580,68.09
1581,54.64
1582,49.64
1583,43.48
1584,39.43
1585,42.63
1586,40.47
1587,40.79
1588,39.72
1589,40.34
1590,45.23
1591,62.42
1592,72.61
1593,65.71
1594,65.68
1595,65.17
1596,59.24
1597,55.43
1598,52.95
1599,50.11
1600,47.97
1601,50.62
1602,67.13
1603,84.19
1604,80.81
1605,69.42
1606,56.65
1607,48.9
1608,41.83
1609,41.65
1610,38.07
1611,36.41
1612,37.34
1613,37.89
1614,46.93
1615,61.27
1616,70.95
1617,65.95
1618,64.26
1619,64.34
1620,60.04
1621,56.45
1622,54.13
1623,51.29
1624,49.58
1625,52.46
1626,67.27
1627,88.32
1628,72.99
1629,64.94
1630,53.96
1631,44.62
1632,40.7
1633,38.07
1634,36.36
1635,35.72
1636,35.04
1637,35.26
1638,41.46
1639,58.63
1640,61.21
1641,58.79
1642,62.41
1643,69.16
1644,65.05
1645,60.63
1646,58
1647,55.62
1648,54.23
1649,54
1650,77.21
1651,97.92
1652,80.23
1653,60.75
1654,53.83
1655,49.34
1656,38.73
1657,34.17
1658,31.71
1659,30.4
1660,30.38
1661,30.71
1662,34.61
1663,46.87
1664,50.61
1665,50.15
1666,50.76
1667,58.12
1668,50.96
1669,47.62
1670,44.79
1671,42.76
1672,42.32
1673,42.85
1674,51.36
1675,61.95
1676,53.48
1677,45.72
1678,40.88
1679,39.55
1680,36.57
1681,36.63
1682,34.09
1683,31.27
1684,30.9
1685,31.15
1686,34.08
1687,35.69
1688,36.69
1689,45.28
1690,46.49
1691,47.52
1692,45.41
1693,40.43
1694,38.07
1695,37.79
1696,37.48
1697,38.36
1698,48.97
1699,59.73
1700,54.3
1701,45.99
1702,41.23
1703,37.41
1704,34.99
1705,39.15
1706,34.09
1707,32.22
1708,29.84
1709,31.16
1710,34.7
1711,36.2
1712,38.11
1713,40.13
1714,39.28
1715,39.12
1716,38.98
1717,38.61
1718,38.1
1719,38.14
1720,36.54
1721,45.61
1722,57.55
1723,68.25
1724,58.31
1725,44.32
1726,39.83
1727,37.94
1728,36.04
1729,34.98
1730,31.85
1731,32.22
1732,32.92
1733,36.53
1734,60.8
1735,67.52
1736,60.64
1737,57.36
1738,58.47
1739,53.31
1740,49.44
1741,48.02
1742,45.36
1743,44.01
1744,43.84
1745,49.91
1746,60.36
1747,67.61
1748,62.25
1749,51.56
1750,44.33
1751,38.33
1752,38.01
1753,36.09
1754,35.42
1755,32.43
1756,33.07
1757,39.24
1758,69.62
1759,74.08
1760,61.09
1761,59.72
1762,59.59
1763,55.55
1764,51.5
1765,50.26
1766,47.74
1767,45.97
1768,44.64
1769,49.6
1770,63.62
1771,77.56
1772,67.35
1773,49.23
1774,43.63
1775,36.12
1776,33.67
1777,31.49
1778,30.28
1779,29.53
1780,30.1
1781,36.53
1782,49.56
1783,60.65
1784,51.6
1785,50.99
1786,52.33
1787,49.08
1788,46.41
1789,45.42
1790,43.39
1791,42.85
1792,45.14
1793,47.94
1794,55.13
1795,67.73
1796,58.52
1797,45.16
1798,37.94
1799,36.46
1800,33.87
1801,30.95
1802,30.01
1803,29.53
1804,28.02
1805,33.81
1806,42.57
1807,51.92
1808,46.19
1809,46.43
1810,47.62
1811,44.18
1812,42.11
1813,41.64
1814,39.76
1815,39.6
1816,45.16
1817,47.78
1818,51.27
1819,64.81
1820,49.95
1821,46.31
1822,36.81
1823,35.45
1824,33.33
1825,30.97
1826,29.91
1827,28.67
1828,28.7
1829,28.61
1830,38.94
1831,50
1832,44.32
1833,43.59
1834,44.98
1835,43.23
1836,42.88
1837,42.72
1838,42.67
1839,46.57
1840,40.85
1841,41.08
1842,43.47
1843,56.54
1844,44.66
1845,39.29
1846,35.77
1847,35.7
1848,39.46
1849,35.16
1850,33.65
1851,33.13
1852,33.62
1853,34.55
1854,36.4
1855,38.62
1856,51.49
1857,58.33
1858,58.13
1859,58.13
1860,51.24
1861,48.89
1862,47.25
1863,46.37
1864,50.01
1865,51.95
1866,57.74
1867,66.24
1868,59.29
1869,55.23
1870,46.74
1871,44.61
1872,36.87
1873,33.3
1874,31.52
1875,32.76
1876,32.09
1877,32.84
1878,34.02
1879,37.16
1880,41.89
1881,43.89
1882,46.08
1883,43.67
1884,43.39
1885,40.75
1886,38.74
1887,38.69
1888,40.6
1889,48.33
1890,53.78
1891,67.7
1892,56.37
1893,47.13
1894,40.18
1895,37.63
1896,37.31
1897,33.94
1898,32.54
1899,32.28
1900,33.37
1901,36.63
1902,48.32
1903,60.48
1904,54.27
1905,55.38
1906,56.35
1907,54.61
1908,51.76
1909,49.55
1910,46.5
1911,46.51
1912,46.67
1913,51.85
1914,59.25
1915,64.13
1916,55.21
1917,46.82
1918,41.02
1919,36.83
1920,38.34
1921,35.54
1922,34.06
1923,33.58
1924,34.81
1925,38.47
1926,50.3
1927,62.15
1928,55.83
1929,54.63
1930,55.51
1931,53.26
1932,52.02
1933,51.54
1934,49.55
1935,49.02
1936,48.95
1937,52.03
1938,56.73
1939,68.19
1940,58.3
1941,50.85
1942,44.58
1943,40.34
1944,39.21
1945,36.24
1946,33.28
1947,32.34
1948,33.79
1949,37.95
1950,51.06
1951,58.79
1952,59.48
1953,59.16
1954,58.07
1955,56.88
1956,56.38
1957,58.15
1958,55.79
1959,55.17
1960,58.92
1961,62.51
1962,64.43
1963,87.6
1964,64.38
1965,51.59
1966,42.83
1967,39.8
1968,41.15
1969,36.84
1970,34.57
1971,33.78
1972,35.68
1973,42.55
1974,56.42
1975,65.97
1976,63.1
1977,63.56
1978,65.69
1979,62.42
1980,58.75
1981,54.62
1982,53.75
1983,53.27
1984,52.34
1985,57.73
1986,59.59
1987,79.37
1988,67.79
1989,54.14
1990,45.04
1991,41.64
1992,40.71
1993,37.92
1994,36.54
1995,37.25
1996,38
1997,43.36
1998,60.62
1999,62.48
2000,61.9
2001,61.12
2002,61.11
2003,59.54
2004,54.7
2005,49.77
2006,49.52
2007,48.96
2008,49.56
2009,51.93
2010,59.13
2011,64.65
2012,65.5
2013,60.77
2014,47.12
2015,45.43
2016,49.32
2017,44.56
2018,43.02
2019,41.77
2020,42.74
2021,42.2
2022,47.43
2023,50.82
2024,61.59
2025,63.48
2026,62.41
2027,60.46
2028,55.49
2029,48.92
2030,45.82
2031,44.97
2032,45.18
2033,50.85
2034,61.21
