Time_index,Hourly_USD_per_MWh
4799,62.48
4800,57.48
4801,52.46
4802,49.28
4803,46.45
4804,43.27
4805,40.76
4806,41.42
4807,47.15
4808,53.61
4809,71.01
4810,119.01
4811,148.19
4812,177.97
4813,247.64
4814,265.54
4815,265.54
4816,265.54
4817,256.1
4818,126.49
4819,120.95
4820,118.88
4821,107.31
4822,70.41
4823,56.29
4824,47.8
4825,45.89
4826,42.87
4827,33.53
4828,30.87
4829,29.25
4830,29.09
4831,31.99
4832,40.51
4833,46.57
4834,53.6
4835,62.22
4836,74.25
4837,91.9
4838,98.04
4839,91.42
4840,92.35
4841,89.27
4842,73.34
4843,60.7
4844,63.36
4845,57.85
4846,50.89
4847,46.66
4848,41.06
4849,35.15
4850,31.77
4851,29.77
4852,29.63
4853,31.86
4854,34.88
4855,41.81
4856,46.29
4857,53.85
4858,69.52
4859,94.22
4860,122.61
4861,133.31
4862,154.43
4863,190.56
4864,257.27
4865,169.47
4866,124.74
4867,90.46
4868,93.1
4869,80.53
4870,56.44
4871,50.04

4872,43.76
4873,42.16
4874,41.27
4875,41.02
4876,30.71
4877,41.23
4878,42.49
4879,45.13
4880,47.23
4881,53.45
4882,69.57
4883,82.94
4884,124.37
4885,135.45
4886,150.78
4887,150.83
4888,159.71
4889,150.8
4890,126.05
4891,115.52
4892,115.48
4893,86.18
4894,51.95
4895,46.24
4896,42.48
4897,41.14
4898,40.13
4899,39.48
4900,30.85
4901,38.94
4902,41.53
4903,43.7
4904,44.97
4905,49.66
4906,65.33
4907,84.65
4908,116.76
4909,132.38
4910,149.61
4911,158.45
4912,172.95
4913,158.54
4914,132.04
4915,114.68
4916,84.42
4917,74.94
4918,48.18
4919,43.26
4920,41.88
4921,31.31
4922,28.21
4923,26.43
4924,25.91
4925,29.5
4926,35.87
4927,42.57
4928,43.6
4929,45.1
4930,45.37
4931,47.94
4932,52.11
4933,55.37
4934,59.45
4935,64.16
4936,65.81
4937,61.3
4938,53.35
4939,49.48
4940,51.21
4941,47.67
4942,45.59
4943,42.7
4944,34.19
4945,30.23
4946,26.7
4947,25.07
4948,24.9
4949,27.72
4950,31.37
4951,41.35
4952,42.75
4953,44.08
4954,45.63
4955,47.65
4956,49.4
4957,54.07
4958,62.2
4959,68.94
4960,64.38
4961,60.75
4962,50.36
4963,50.18
4964,48.16
4965,46.63
4966,43.04
4967,38.88
4968,31.93
4969,29.12
4970,25.15
4971,22.74
4972,21.91
4973,22.03
4974,24.49
4975,28.08
4976,31.81
4977,39.36
4978,43.69
4979,45.32
4980,46.79
4981,49.25
4982,51.07
4983,52.67
4984,55.98
4985,57.95
4986,50.01
4987,46.96
4988,48.18
4989,46.16
4990,45.02
4991,42.3
4992,33.43
4993,29.55
4994,26.7
