Time_index,Hourly_USD_per_MWh
5526,30
5527,34.09
5528,36.61
5529,38.87
5530,43.08
5531,45.01
5532,46.71
5533,48.58
5534,52.84
5535,57.06
5536,69.81
5537,69.83
5538,51.86
5539,48.32
5540,50.56
5541,46.58
5542,40.83
5543,34.21
5544,34.34
5545,27.65
5546,25.3
5547,24
5548,24.3
5549,27.56
5550,30.52
5551,36.43
5552,38.76
5553,40.68
5554,46.53
5555,50.79
5556,54.29
5557,63.75
5558,74.47
5559,78.55
5560,108.42
5561,88.41
5562,71.83
5563,56.47
5564,55.02
5565,48.13
5566,41.65
5567,38.08
5568,37.99
5569,28.68
5570,25.51
5571,24.16
5572,24.44
5573,28.28
5574,31.88
5575,38.14
5576,40.67
5577,43.65
5578,49.23
5579,68.38
5580,80.3
5581,119.89
5582,126.91
5583,139.82
5584,142.16
5585,122.49
5586,74.61
5587,58.68
5588,58.57
5589,49.28
5590,44.02
5591,41.04
5592,35.78
5593,30.79
5594,24.62
5595,24.28
5596,24.5
5597,27.05
5598,33.08
5599,36.72
5600,41.04
5601,44.53
5602,47.53
5603,52.92
5604,64.35
5605,75.65
5606,90.64
5607,98.58
5608,103.69
5609,85.36
5610,58.88
5611,52.33
5612,54.92
5613,47.48
5614,43.15
5615,39.12
5616,34.48
5617,29.62
5618,24.83
5619,23.46
5620,23.58
5621,26.15
5622,31.1
5623,33.62
5624,37.56
5625,41.46
5626,44.71
5627,47.85
5628,51.02
5629,61
5630,67.1
5631,71.58
5632,72.06
5633,59.6
5634,50.69
5635,46.91
5636,47.37
5637,43.36
5638,41.01
5639,34.58
5640,32.58
5641,28.12
5642,25.27
5643,22.65
