profit,SOCmax,reward_total,soc,power,price
0,1,0,0,0,18.81283
0,1,0,0,0,18.587366
-9.293683052,1,-18.5873661,0.5,-0.5,18.415584
-0.08589077,1,-0.17178154,0,0.5,18.584171
-0.08589077,1,-0.17178154,0,0,18.729351
-0.08589077,1,-0.17178154,0,0,19.322371
-0.08589077,1,-0.17178154,0,0,20.317504
-10.24464321,1,-20.48928642,0.5,-0.5,21.040017
0.275364876,1,0.550729752,0,0.5,21.40746
0.275364876,1,0.550729752,0,0,22.475452
0.275364876,1,0.550729752,0,0,22.184297
-10.81678391,1,-21.63356781,0.5,-0.5,22.204442
0.28543663,1,0.57087326,0,0.5,21.821191
0.28543663,1,0.57087326,0,0,21.666148
-10.54763699,1,-21.09527397,0.5,-0.5,22.112124
0.508424759,1,1.016849518,0,0.5,23.868422
-11.42578602,1,-22.85157204,0.5,-0.5,28.034539
2.591483116,1,5.182966232,0,0.5,27.81378
2.591483116,1,5.182966232,0,0,27.657444
2.591483116,1,5.182966232,0,0,27.077263
2.591483116,1,5.182966232,0,0,25.649738
2.591483116,1,5.182966232,0,0,23.681297
2.591483116,1,5.182966232,0,0,22.393402
2.591483116,1,5.182966232,0,0,22.638692
2.591483116,1,5.182966232,0,0,22.353091
2.591483116,1,5.182966232,0,0,22.386126
2.591483116,1,5.182966232,0,0,22.161664
-8.489348412,1,-16.97869682,0.5,-0.5,22.462853
-19.72077465,1,-39.4415493,1,-0.5,24.028264
-19.72077465,1,-39.4415493,1,0,29.60535
-4.918099403,1,-9.836198807,0.5,0.5,30.428958
10.29638004,1,20.59276009,0,0.5,30.901339
10.29638004,1,20.59276009,0,0,32.662497
10.29638004,1,20.59276009,0,0,31.603157
10.29638004,1,20.59276009,0,0,30.302718
10.29638004,1,20.59276009,0,0,29.128134
10.29638004,1,20.59276009,0,0,28.231628
10.29638004,1,20.59276009,0,0,27.353097
10.29638004,1,20.59276009,0,0,27.131128
10.29638004,1,20.59276009,0,0,30.237745
-4.822492599,1,-9.644985199,0.5,-0.5,39.602881
14.97894859,1,29.95789719,0,0.5,34.207477
14.97894859,1,29.95789719,0,0,33.397771
14.97894859,1,29.95789719,0,0,30.539537
14.97894859,1,29.95789719,0,0,29.044097
14.97894859,1,29.95789719,0,0,26.155075
14.97894859,1,29.95789719,0,0,23.994026
14.97894859,1,29.95789719,0,0,21.919977
14.97894859,1,29.95789719,0,0,20.856262
14.97894859,1,29.95789719,0,0,20.841786
4.558055878,1,9.116111755,0.5,-0.5,20.608413
14.86226273,1,29.72452545,0,0.5,21.100549
4.311987877,1,8.623975754,0.5,-0.5,22.77536
-7.075692177,1,-14.15138435,1,-0.5,26.930603
6.389609337,1,12.77921867,0.5,0.5,27.971216
20.37521744,1,40.75043488,0,0.5,27.571962
20.37521744,1,40.75043488,0,0,27.574659
