profit,SOCmax,reward_total,soc,power,price
0.0,0.9999982876712329,-10.0,0.0,0.0,41.42
0.0,0.9999965753424658,-20.0,0.0,0.0,39.86
0.0,0.9999948630136987,-30.0,0.0,0.0,39.8
0.0,0.9999931506849316,-40.0,0.0,0.0,39.77
0.0,0.9999914383561644,-50.0,0.0,0.0,40.09
0.0,0.9999897260273973,-60.0,0.0,0.0,41.33
0.0,0.9999880136986302,-70.0,0.0,0.0,43.67
0.0,0.9999863013698631,-80.0,0.0,0.0,45.17
0.0,0.999984589041096,-90.0,0.0,0.0,59.5
0.0,0.9999828767123289,-100.0,0.0,0.0,69.42
0.0,0.9999811643835618,-110.0,0.0,0.0,113.38
0.0,0.9999794520547947,-120.0,0.0,0.0,119.25
0.0,0.9999777397260275,-130.0,0.0,0.0,123.96
0.0,0.9999760273972604,-140.0,0.0,0.0,135.44
0.0,0.9999743150684933,-150.0,0.0,0.0,140.71
0.0,0.9999726027397262,-160.0,0.0,0.0,140.69
0.0,0.9999708904109591,-170.0,0.0,0.0,131.18
0.0,0.999969178082192,-180.0,0.0,0.0,114.92
0.0,0.9999674657534249,-190.0,0.0,0.0,78.54
0.0,0.9999657534246578,-200.0,0.0,0.0,79.89
0.0,0.9999640410958907,-210.0,0.0,0.0,80.41
0.0,0.9999623287671235,-220.0,0.0,0.0,62.66
0.0,0.9999606164383564,-230.0,0.0,0.0,44.22
0.0,0.9999589041095893,-240.0,0.0,0.0,41.56
0.0,0.9999571917808222,-250.0,0.0,0.0,39.73
0.0,0.9999554794520551,-260.0,0.0,0.0,32.6
0.0,0.999953767123288,-270.0,0.0,0.0,29.55
0.0,0.9999520547945209,-280.0,0.0,0.0,29.08
0.0,0.9999503424657538,-290.0,0.0,0.0,31.88
0.0,0.9999486301369866,-300.0,0.0,0.0,39.68
0.0,0.9999469178082195,-310.0,0.0,0.0,41.0
0.0,0.9999452054794524,-320.0,0.0,0.0,42.92
0.0,0.9999434931506853,-330.0,0.0,0.0,47.96
0.0,0.9999417808219182,-340.0,0.0,0.0,64.48
0.0,0.9999400684931511,-340.0,0.0,0.0,74.08
0.0,0.999938356164384,-350.0,0.0,0.0,78.89
0.0,0.9999366438356169,-360.0,0.0,0.0,89.16
0.0,0.9999349315068498,-370.0,0.0,0.0,98.69
0.0,0.9999332191780826,-380.0,0.0,0.0,103.46
0.0,0.9999315068493155,-390.0,0.0,0.0,108.18
0.0,0.9999297945205484,-400.0,0.0,0.0,98.43
0.0,0.9999280821917813,-410.0,0.0,0.0,80.08
0.0,0.9999263698630142,-420.0,0.0,0.0,64.46
0.0,0.9999246575342471,-430.0,0.0,0.0,66.17
0.0,0.99992294520548,-440.0,0.0,0.0,63.27
0.0,0.9999212328767129,-450.0,0.0,0.0,45.91
0.0,0.9999195205479458,-460.0,0.0,0.0,42.39
0.0,0.9999178082191786,-470.0,0.0,0.0,39.77
0.0,0.9999160958904115,-480.0,0.0,0.0,31.95
0.0,0.9999143835616444,-490.0,0.0,0.0,28.41
0.0,0.9999126712328773,-500.0,0.0,0.0,27.93
0.0,0.9999109589041102,-510.0,0.0,0.0,27.94
0.0,0.9999092465753431,-520.0,0.0,0.0,30.83
0.0,0.999907534246576,-530.0,0.0,0.0,35.04
0.0,0.9999058219178089,-540.0,0.0,0.0,40.36
0.0,0.9999041095890417,-550.0,0.0,0.0,42.56
0.0,0.9999023972602746,-560.0,0.0,0.0,46.37
0.0,0.9999006849315075,-560.0,0.0,0.0,53.78
0.0,0.9998989726027404,-560.0,0.0,0.0,63.26
0.0,0.9998972602739733,-560.0,0.0,0.0,67.76
0.0,0.9998955479452062,-560.0,0.0,0.0,74.85
0.0,0.9998938356164391,-570.0,0.0,0.0,81.91
0.0,0.999892123287672,-580.0,0.0,0.0,93.17
0.0,0.9998904109589049,-590.0,0.0,0.0,107.93
0.0,0.9998886986301377,-600.0,0.0,0.0,87.86
0.0,0.9998869863013706,-610.0,0.0,0.0,69.42
0.0,0.9998852739726035,-620.0,0.0,0.0,55.13
0.0,0.9998835616438364,-630.0,0.0,0.0,53.59
0.0,0.9998818493150693,-640.0,0.0,0.0,50.04
0.0,0.9998801369863022,-650.0,0.0,0.0,43.64
0.0,0.9998784246575351,-660.0,0.0,0.0,41.64
0.0,0.999876712328768,-670.0,0.0,0.0,38.47
0.0,0.9998750000000008,-680.0,0.0,0.0,32.71
0.0,0.9998732876712337,-690.0,0.0,0.0,29.71
0.0,0.9998715753424666,-700.0,0.0,0.0,27.39
0.0,0.9998698630136995,-710.0,0.0,0.0,26.75
0.0,0.9998681506849324,-720.0,0.0,0.0,26.03
0.0,0.9998664383561653,-730.0,0.0,0.0,28.6
0.0,0.9998647260273982,-740.0,0.0,0.0,34.03
0.0,0.9998630136986311,-750.0,0.0,0.0,39.47
0.0,0.999861301369864,-760.0,0.0,0.0,43.56
0.0,0.9998595890410968,-760.0,0.0,0.0,48.23
0.0,0.9998578767123297,-760.0,0.0,0.0,54.61
0.0,0.9998561643835626,-770.0,0.0,0.0,60.25
0.0,0.9998544520547955,-780.0,0.0,0.0,64.85
0.0,0.9998527397260284,-790.0,0.0,0.0,65.95
0.0,0.9998510273972613,-800.0,0.0,0.0,73.22
0.0,0.9998493150684942,-810.0,0.0,0.0,77.34
0.0,0.9998476027397271,-820.0,0.0,0.0,72.05
0.0,0.99984589041096,-830.0,0.0,0.0,62.27
0.0,0.9998441780821928,-840.0,0.0,0.0,56.6
0.0,0.9998424657534257,-850.0,0.0,0.0,55.85
0.0,0.9998407534246586,-860.0,0.0,0.0,53.32
0.0,0.9998390410958915,-870.0,0.0,0.0,46.04
0.0,0.9998373287671244,-880.0,0.0,0.0,41.56
0.0,0.9998356164383573,-890.0,0.0,0.0,42.55
0.0,0.9998339041095902,-900.0,0.0,0.0,35.73
0.0,0.999832191780823,-910.0,0.0,0.0,31.55
0.0,0.9998304794520559,-920.0,0.0,0.0,26.94
0.0,0.9998287671232888,-930.0,0.0,0.0,27.88
0.0,0.9998270547945217,-940.0,0.0,0.0,30.71
0.0,0.9998253424657546,-950.0,0.0,0.0,35.15
0.0,0.9998236301369875,-960.0,0.0,0.0,42.16
0.0,0.9998219178082204,-960.0,0.0,0.0,44.26
0.0,0.9998202054794533,-960.0,0.0,0.0,50.06
0.0,0.9998184931506862,-960.0,0.0,0.0,58.11
0.0,0.999816780821919,-960.0,0.0,0.0,98.51
0.0,0.9998150684931519,-960.0,0.0,0.0,116.28
0.0,0.9998133561643848,-970.0,0.0,0.0,120.84
0.0,0.9998116438356177,-980.0,0.0,0.0,128.14
0.0,0.9998099315068506,-990.0,0.0,0.0,133.25
0.0,0.9998082191780835,-1000.0,0.0,0.0,138.58
0.0,0.9998065068493164,-1010.0,0.0,0.0,122.08
0.0,0.9998047945205493,-1020.0,0.0,0.0,88.63
0.0,0.9998030821917822,-1030.0,0.0,0.0,72.03
0.0,0.999801369863015,-1040.0,0.0,0.0,61.49
0.0,0.9997996575342479,-1050.0,0.0,0.0,57.67
0.0,0.9997979452054808,-1060.0,0.0,0.0,48.03
0.0,0.9997962328767137,-1070.0,0.0,0.0,43.81
0.0,0.9997945205479466,-1080.0,0.0,0.0,44.28
0.0,0.9997928082191795,-1090.0,0.0,0.0,42.11
0.0,0.9997910958904124,-1100.0,0.0,0.0,33.18
0.0,0.9997893835616453,-1110.0,0.0,0.0,31.65
0.0,0.9997876712328782,-1120.0,0.0,0.0,31.23
0.0,0.999785958904111,-1130.0,0.0,0.0,28.82
0.0,0.9997842465753439,-1140.0,0.0,0.0,29.65
0.0,0.9997825342465768,-1150.0,0.0,0.0,38.64
0.0,0.9997808219178097,-1150.0,0.0,0.0,44.21
0.0,0.9997791095890426,-1150.0,0.0,0.0,46.05
0.0,0.9997773972602755,-1150.0,0.0,0.0,51.21
